Product	Avg. Session Duration	Buy-to-Detail Rate	Product Refund Amount	Product Refunds	Product Revenue	Quantity	Users
10st Geschenkverpakking Naturel 388 x 104 x 108 mm Golfkarton Pressel	0	0	0	0	139	7	2
3-Maandskalender 2017 Quantore	0	0	0	0	21	4	1
3L Zelfklevend driehoekvak 100 x 100 mm (pak 100 stuks)	0	0	0	0	17	1	1
3L Zelfklevend driehoekvak 75 x 75 mm (pak 100 stuks)	0	0	0	0	13	2	2
"3L Zelfklevend visitekaarthoesje 60 x 95 mm, korte zijde open (pak 10 stuks)"	0	0	0	0	144	68	14
"3L Zelfklevend visitekaarthoesje 60 x 95 mm, lange zijde open (pak 10 stuks)"	0	0	0	0	51	24	4
3L Zelfklevende etikethouder 25 x 75 mm (pak 12 stuks)	0	0	0	0	38	23	3
3L Zelfklevende etikethouder 35 x 75 mm (pak 12 stuks)	0	0	0	0	132	64	4
3L Zelfklevende etikethouder 46 x 75 mm (pak 6 stuks)	0	0	0	0	151	103	8
3L Zelfklevende etikethouder 55 x 102 mm (pak 6 stuks)	0	0	0	0	51	26	2
3L Zelfklevende etikethouder 55 x 150 mm (pak 6 stuks)	0	0	0	0	32	11	2
3L Zelfklevende etikethouder 62 x 150 mm (pak 6 stuks)	0	0	0	0	77	33	3
"3L Zelfklevende hechtstrip A4, lengte 271 mm, 23 rings (pak 100 stuks)"	0	0	0	0	60	5	2
"3L Zelfklevende hechtstrip A4, lengte 295 mm, 11 rings (pak 50 stuks)"	0	0	0	0	113	24	7
"3L Zelfklevende hechtstrip A5, lengte 125 mm, 7 rings (pak 100 stuks)"	0	0	0	0	68	11	1
"3L Zelfklevende opbergtas A4, 220 x 305 mm (pak 50 stuks)"	0	0	0	0	137	3	3
"3L Zelfklevende opbergtas A5, 158 x 220 mm (pak 50 stuks)"	0	0	0	0	407	14	7
"3L Zelfklevende opbergtas herpositioneerbaar A3, opening aan de korte kant (pak 5 stuks)"	0	0	0	0	22	1	1
"3L Zelfklevende opbergtas herpositioneerbaar A4, opening aan de korte kant (pak 10 stuks)"	0	0	0	0	30	3	2
3L Zelfklevende versterkingsringen Zelfklevende versterkingsringen (pak 500 stuks)	0	0	0	0	4	4	4
"3Mâ„¢ Bureau organizer Voor bureau-lade, C71, (B x L x H) 298 x 268/407 x 44 mm, zwart"	0	0	0	0	64	2	2
3Mâ„¢ Laptopstandaard LX500	0	0	0	0	41	1	1
3M™ 3M ReMount - lijmspray (fles 400 milliliter)	0	0	0	0	136	8	3
"3M™ Bureau organizer Voor bureau-lade, C71, (B x L x H) 298 x 268/407 x 44 mm, zwart"	0	0	0	0	130	4	3
3M™ Displaymount™ (fles 400 milliliter)	0	0	0	0	13	1	1
3M™ LX550 notebook standaard	0	0	0	0	347	11	2
3M™ Lijmspray Spray Mount 3M/bus 400ml (fles 400 milliliter)	0	0	0	0	148	12	1
3M™ Photomount™ (fles 400 milliliter)	0	0	0	0	12	1	1
"3M™ Privacy filter Desktop 17.0 inch, frameless"	0	0	0	0	184	2	1
"3M™ Privacy filter widescreen laptop 15.4 inch Wide, frameless"	0	0	0	0	88	1	1
