Default Channel Grouping,Country,Date,Device Category,Medium,Sessions,Source,Revenue,Transactions,Gender
(Other),Netherlands,4/19/2016,desktop,e-mail,12,e-mailing,0,0,female
(Other),Netherlands,6/1/2016,desktop,e-mail,11,e-mailing,0,0,male
(Other),Netherlands,6/29/2016,desktop,e-mail,12,e-mailing,145,1,female
(Other),Netherlands,10/20/2016,desktop,e-mail,13,e-mailing,0,0,female
(Other),Netherlands,10/20/2016,desktop,e-mail,19,e-mailing,0,0,male
(Other),Netherlands,10/27/2016,desktop,e-mail,11,e-mailing,0,0,female
(Other),Netherlands,11/21/2016,desktop,e-mail,18,e-mailing,257.029998779,1,female
(Other),Netherlands,11/21/2016,desktop,e-mail,17,e-mailing,124.099998474,1,male
(Other),Netherlands,12/14/2016,desktop,e-mail,17,e-mailing,0,0,female
(Other),Netherlands,12/14/2016,desktop,e-mail,16,e-mailing,133.800003052,1,male
Direct,Netherlands,3/30/2016,desktop,(none),14,(direct),534.309997559,2,female
Direct,Netherlands,3/30/2016,desktop,(none),23,(direct),316.010009766,3,male
Direct,Netherlands,3/31/2016,desktop,(none),13,(direct),106.660003662,1,female
Direct,Netherlands,3/31/2016,desktop,(none),14,(direct),139.679992676,1,male
Direct,Netherlands,4/1/2016,desktop,(none),20,(direct),506.589996338,2,female
Direct,Netherlands,4/1/2016,desktop,(none),13,(direct),3048.840087891,4,male
Direct,Netherlands,4/2/2016,mobile,(none),10,(direct),0,0,female
Direct,Netherlands,4/4/2016,desktop,(none),19,(direct),292.869995117,1,female
Direct,Netherlands,4/4/2016,desktop,(none),22,(direct),640.479980469,3,male
Direct,Netherlands,4/5/2016,desktop,(none),29,(direct),1027.729980469,6,female
Direct,Netherlands,4/5/2016,desktop,(none),20,(direct),836.25,5,male
Direct,Netherlands,4/5/2016,mobile,(none),11,(direct),0,0,female
Direct,Netherlands,4/6/2016,desktop,(none),15,(direct),523.099975586,3,female
Direct,Netherlands,4/6/2016,desktop,(none),12,(direct),0,0,male
Direct,Netherlands,4/7/2016,desktop,(none),15,(direct),96.580001831,1,female
Direct,Netherlands,4/7/2016,desktop,(none),11,(direct),141.5,1,male
Direct,Netherlands,4/8/2016,desktop,(none),15,(direct),211.699996948,2,female
Direct,Netherlands,4/8/2016,desktop,(none),15,(direct),531.510009766,4,male
Direct,Netherlands,4/11/2016,desktop,(none),11,(direct),199.110000610,2,female
Direct,Netherlands,4/12/2016,desktop,(none),14,(direct),452.799987793,3,female
Direct,Netherlands,4/13/2016,desktop,(none),15,(direct),0,0,female
Direct,Netherlands,4/13/2016,desktop,(none),17,(direct),271.279998779,3,male
Direct,Netherlands,4/14/2016,desktop,(none),12,(direct),552.929992676,2,female
